"time"	"length"	"track"	"channel"	"note"	"notename"	"velocity"	"angle"	"x"	"y"	"amplitude"	"angle.c"	"x.c"	"y.c"	"angle.mw"	"x.mw"	"y.mw"
1504	343	"Piano"	0	68	"g#'"	82	0.106818181818182	-47.3394313556635	7.93588299576174	1.25	92.106377460804	-46.8969924559044	10.2309383045174	0.888986156456135	-41.1719833038887	24.6752465200311
1520	356	"Piano"	0	73	"c#''"	72	0.107954545454545	-52.2606309459665	8.8219302383031	1.25	92.1075091359189	-51.7692785309049	11.3552543075699	0.971639570701505	-43.0561580595155	30.9057802547358
1536	375	"Piano"	0	58	"a#"	88	0.109090909090909	-37.4626744683062	6.36773285257123	1.25	92.1086408110338	-37.1083586253041	8.18350292575371	0.728206028425137	-35.3013622775144	14.0646301533913
1536	347	"Piano"	0	77	"f''"	76	0.109090909090909	-56.1940117024594	9.55159927885684	1.25	92.1086408110338	-55.6625379379561	12.2752543886306	1.03798863712079	-44.000081460714	36.2352429473094
1558	325	"Piano"	0	80	"g#''"	75	0.110653409090909	-59.1358091983865	10.1467270807895	1.25	92.1101968643169	-58.5719680082991	13.0124772289824	1.08845773388209	-44.3327080665303	40.4303227230231
1893	334	"Piano"	0	67	"g'"	67	0.134446022727273	-46.1208474202596	9.04806240236752	1.25	92.1338913120358	-45.626998578345	11.2772780728198	0.900195659861923	-40.0408717315585	24.6115540138545
1913	322	"Piano"	0	70	"a#'"	84	0.135866477272727	-49.05100907916	9.69528278680759	1.25	92.1353059059295	-48.5223405993946	12.0657557888571	0.950523297233854	-41.2255901123287	28.2922378028014
1920	371	"Piano"	0	51	"d#"	88	0.136363636363636	-30.4086334100794	6.02619400047849	1.25	92.1358010137923	-30.0801436971737	7.49566242285386	0.641235796400986	-29.6862546917237	8.92895751911222
1929	316	"Piano"	0	75	"d#''"	67	0.137002840909091	-53.9439560488401	10.7261179277878	1.25	92.1364375810444	-53.3595205173138	13.3327255339023	1.03317671147922	-42.6239701305175	34.7591307473698
1939	311	"Piano"	0	79	"g''"	80	0.137713068181818	-57.858966241825	11.5472951563282	1.25	92.1371448779913	-57.2300825731618	14.3428605469439	1.09910139973041	-43.1682135599438	40.2182214679253
